Time (seconds),x,y,z
7.58,36,-16,-1072
7.68,-20,16,-1024
7.78,-12,8,-1024
7.88,-76,72,-1012
7.98,-96,88,-1008
8.08,-88,20,-924
8.18,64,0,-1000
8.28,32,-36,-1024
8.38,36,-20,-992
8.48,148,56,-940
8.58,116,56,-964
8.68,128,116,-972
8.78,104,44,-1072
8.88,8,148,-1092
8.98,172,-32,-1464
9.08,48,-16,-904
9.18,-80,-80,-928
9.28,-12,52,-872
9.38,20,88,-968
9.48,76,56,-1084
9.58,176,-20,-1180
9.68,144,-100,-956
9.78,208,76,-848
9.88,160,-4,-1004
9.98,156,88,-872
10.08,112,24,-1068
10.18,96,44,-1120
10.28,160,-188,-1412
10.38,-72,-8,-756
10.48,-32,24,-796
10.58,44,24,-1052
10.68,104,44,-1056
10.78,84,28,-1104
10.88,176,-228,-1276
10.98,232,-56,-968
11.08,108,16,-860
11.18,156,40,-972
11.28,140,20,-1052
11.38,112,-48,-1140
11.48,220,-204,-1448
11.58,8,-52,-780
11.68,32,-36,-908
11.78,28,0,-964
11.88,44,64,-924
11.98,96,64,-1060
12.08,76,-80,-1180
12.18,52,-116,-980
12.28,76,-116,-896
12.38,52,-56,-952
12.48,88,-24,-984
12.58,112,-64,-1068
12.68,116,-120,-996
12.78,4,-140,-1212
12.88,-8,-92,-876
12.98,72,-60,-1008
13.08,8,-20,-1108
13.18,48,-16,-1068
13.28,88,40,-980
13.38,64,64,-1028
13.48,48,116,-948
13.58,88,-88,-1000
13.68,216,20,-1004
13.78,116,0,-1000
13.88,208,72,-892
13.98,192,160,-1008
14.08,172,144,-956
14.18,268,164,-1128
14.28,200,-40,-1288
14.38,156,-4,-1020
14.48,132,40,-900
14.58,96,108,-888
14.68,164,96,-1148
14.78,208,136,-1008
14.88,232,-60,-1076
14.98,228,-36,-928
15.08,204,48,-824
15.18,204,84,-920
15.28,244,60,-1248
15.38,192,8,-1156
15.48,-56,-24,-688
15.58,32,24,-916
15.68,40,116,-868
15.78,92,128,-1040
15.88,180,48,-1136
15.98,364,-72,-1468
16.08,128,-12,-736
16.18,168,-4,-856
16.28,116,72,-856
16.38,184,76,-936
16.48,200,12,-1236
16.58,364,-160,-1668
16.68,-40,0,-692
16.78,28,-40,-912
16.88,72,24,-980
16.98,232,-100,-1176
17.08,104,-16,-1052
17.18,272,-68,-1080
17.28,32,-148,-848
17.38,192,-144,-988
17.48,120,-100,-1016
17.58,176,-44,-964
17.68,136,-20,-1032
17.78,92,-4,-988
17.88,108,12,-1016
17.98,12,-36,-1016
18.08,8,-32,-984